year_month,manage_city,bus_type,station_id,station_no,station_name,pass_route_cnt
2023,수원시,일반,201000318,2837,구운동하이마트,5
2023,수원시,일반,201000326,2835,오현초등학교,1
2023,수원시,일반,201000407,2906,능실마을16단지,1
2023,수원시,일반,200000160,1015,성균관대역,7
2023,수원시,일반,203000117,4079,매탄레이크파크아파트,5
2023,수원시,일반,202000206,3049,가족여성회관.이춘택병원.수원농협,20
2023,수원시,일반,202000215,3046,향교.팔달보건소.중앙침례교회,20
2023,수원시,일반,202000081,3062,매향동,6
2023,수원시,일반,201000053,2236,권선시장앞,3
2023,수원시,일반,201000064,2137,고색파출소.종합공구단지,26
2023,수원시,일반,201000084,2177,유천교.세류1동주민센터입구,1
2023,수원시,일반,202000254,3157,현대모닝아파트,3
2023,수원시,일반,201000439,2940,호매실스위첸19단지.능실마을22단지,8
2023,수원시,일반,201000445,2948,서부공영차고지,4
2023,수원시,일반,203000056,4029,매탄2동주민센터,10
2023,수원시,일반,202000020,3091,수원시청역9번출구.국민연금공단,14
2023,수원시,일반,201000348,2849,오목천공원,1
2023,수원시,일반,201000370,2868,서수원자이아파트,2
2023,수원시,일반,200000142,1252,경기남부보훈지청.경기도교육청,4
2023,수원시,일반,200000155,1106,만석공원.만석거삼거리,6
2023,수원시,일반,200000065,1124,상공회의소.수성고교,6
2023,수원시,일반,200000091,1081,풍림아파트,9
2023,수원시,일반,201000358,2862,한양수자인파크원아파트.금호초등학교,12
2023,수원시,일반,200000151,1210,이목동.장안힐스테이트,7
2023,수원시,일반,200000071,1030,신명아파트,4
2023,수원시,일반,200000079,1225,수일여중.대우건설기술연구원.경기도융합과학교육원,14
2023,수원시,일반,201000594,2987,수원역환승센터(8승강장),2
2023,수원시,일반,201000584,2977,곡정고.수원아이파크시티7단지아파트,1
2023,수원시,일반,202000048,3138,2001아울렛,22
2023,수원시,일반,200000101,1039,천천중학교,7
2023,수원시,일반,200000107,1046,장안등기소.성우아파트,7
2023,수원시,일반,200000119,1222,동남아파트.북수원시장,6
2023,수원시,일반,200000318,1292,밤꽃사거리,1
2023,수원시,일반,200000322,1296,청솔한라아파트.롯데마트,1
2023,수원시,일반,200000283,1271,효천초등학교.한마루아파트,2
2023,수원시,일반,200000143,1178,수원농생고.수원북중학교.감천장양로원,4
2023,수원시,일반,202000221,3029,수원여고.푸르지오자이,17
2023,수원시,일반,202000024,3065,푸르지오SK뷰.인계파밀리에아파트,5
2023,수원시,일반,201000262,0,당수지구상업부지(예정),3
2023,수원시,일반,200000187,1130,수원종합운동장.수원시체육회관.아너스빌위즈,18
2023,수원시,일반,200000199,1042,천천푸르지오,1
2023,수원시,일반,200000265,1240,정자초교사거리,6
2023,수원시,일반,200000016,1155,새마을주택,1
2023,수원시,일반,200000275,1417,상광교동종점,2
2023,수원시,일반,200000271,1239,동성아울렛,6
2023,수원시,일반,201000400,2160,수원아이파크3단지,1
2023,수원시,일반,202000025,3064,인계동파밀리에아파트,5
2023,수원시,일반,202000260,3161,수원역푸르지오자이.쌍우물택시쉼터,4
2023,수원시,일반,200000025,1012,율전초교,1
2023,수원시,일반,202000008,3080,동수원사거리,22
2023,수원시,일반,202000002,2856,경기소방본부,8
2023,수원시,일반,201000156,2251,수원시청.수원일자리센터,6
2023,수원시,일반,201000149,2026,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,8
2023,수원시,일반,201000372,2867,당수동,1
2023,수원시,일반,202000086,3169,인계래미안노블클래스,7
2023,수원시,일반,201000157,2288,서부경찰서.권선구청입구,7
2023,수원시,일반,201000141,2132,경기도기숙사.수원유스호스텔.농업유전자원센터,2
2023,수원시,일반,201000424,2841,세류역환승주차장,10
2023,수원시,일반,200000325,1299,SK스카이뷰.다솔초등학교,1
2023,수원시,일반,203000064,4126,e편한세상아파트,6
2023,수원시,일반,203000065,4131,극동.풍림아파트,12
2023,수원시,일반,201000046,2173,새터마을,10
2023,수원시,일반,203000235,4437,광교두산위브.아주대병원후문.광교원천경기행복주택,1
2023,수원시,일반,203000084,4068,동수원중학교.성일아파트.한국1차아파트,3
